Team,Rating Week 9,Rank Week 9
Georgia,151.8492399661565,1.0
Ohio State,106.56344454849136,2.0
Alabama,104.25141535616471,3.0
Cincinnati,100.469084482779,4.0
Michigan,99.3057392649485,5.0
Pittsburgh,96.95003451765407,6.0
Houston,79.3086394333348,9.0
Texas A&M,76.24290774501165,10.0
North Carolina State,73.13089939171742,12.0
Baylor,70.52213938941081,14.0
Penn State,69.89216056866141,15.0
Iowa State,68.73806691275888,17.0
Michigan State,68.25186134222773,18.0
Virginia,67.5045844973515,19.0
Wake Forest,67.25167787165904,20.0
Nebraska,65.77705489326506,22.0
Florida,65.01303995223083,23.0
Oklahoma,64.354052866697,24.0
Iowa,61.89330915036534,25.0
Arizona State,59.54841866630066,27.0
Auburn,55.20918567066781,28.0
Tennessee,53.71630486937088,29.0
Mississippi,52.5693978321998,30.0
Minnesota,52.518747371717915,31.0
Arkansas,49.52551160245973,34.0
Oregon,49.50106875561083,35.0
Kentucky,48.67262725297633,36.0
Wisconsin,48.08320881691695,37.0
Oregon State,47.84311914548851,38.0
Texas,45.016597379848506,40.0
Notre Dame,44.91167230125471,41.0
Louisville,42.72066207557487,42.0
Oklahoma State,41.829481303814056,43.0
UCLA,41.25343531468468,44.0
Utah,41.134558368144695,45.0
Clemson,35.46498622804165,49.0
Purdue,35.4058768077509,50.0
West Virginia,34.720710534750225,51.0
Texas Tech,31.283611251513605,52.0
Central Florida,31.128376801171953,53.0
Boston College,31.064460628826254,54.0
Brigham Young,27.609973588657912,60.0
North Carolina,27.04483737740032,61.0
Mississippi State,26.652641240620948,63.0
Kansas State,25.666003168971883,64.0
Syracuse,24.766519501985453,66.0
Florida State,23.69754152464985,68.0
Southern California,23.353198546712356,69.0
Louisiana State,23.311049397639557,70.0
Texas Christian,21.154555027440978,72.0
Miami (FL),16.36568002026926,73.0
Georgia Tech,16.156643630974102,74.0
Washington,13.956446883168747,77.0
Virginia Tech,11.707672276274677,79.0
Washington State,10.933089978268825,83.0
California,10.637733234812424,84.0
Maryland,8.078613050002504,86.0
Northwestern,7.770296989344047,87.0
Rutgers,2.477870131354221,94.0
Stanford,-1.136793248456526,107.0
South Carolina,-2.9645381722640103,113.0
Missouri,-3.363415646358378,114.0
Illinois,-26.327535290392717,175.0
Duke,-27.016577988758208,179.0
Colorado,-29.346241780877392,183.0
Indiana,-47.95504819827492,211.0
Kansas,-66.00169952298863,220.0
Arizona,-67.95180984603309,221.0
Vanderbilt,-99.78248896328577,227.0
