Team,Rating,Rank
Auburn,122.08077618974568,1.0
Virginia,118.85646861731189,2.0
Georgia,114.9152208739758,3.0
Nebraska,113.81947280537271,4.0
Purdue,110.05622020802178,5.0
Maryland,109.09289595072576,6.0
Iowa,107.93051039492786,7.0
Alabama,107.4862789418132,8.0
Rutgers,107.34840971444365,9.0
Boston College,106.43011633413775,10.0
Michigan,104.20876717255442,11.0
West Virginia,101.93037470844212,12.0
South Carolina,101.54166190994852,13.0
Pittsburgh,101.3811591566476,14.0
Oklahoma,101.30968355372838,15.0
Baylor,100.69727567044089,16.0
Arizona State,99.236884319373,17.0
Texas Christian,98.92201658028026,18.0
Michigan State,98.71920078874575,19.0
Wake Forest,98.59923990165018,20.0
Penn State,98.32226955106745,21.0
Mississippi,98.30151060231752,22.0
Texas A&M,97.47938125556693,23.0
UCLA,96.44567417850386,24.0
Kentucky,94.65574582477346,25.0
Arkansas,93.59102510368542,26.0
Kansas State,93.55026801983547,27.0
Virginia Tech,93.52097821972144,28.0
Florida,91.81731844292523,29.0
Tennessee,91.4146364573809,30.0
North Carolina State,90.83599212122911,31.0
Brigham Young,90.53436358131259,32.0
Louisiana State,89.74725898880726,33.0
Colorado,88.04634699077319,34.0
Louisville,86.16309951048075,35.0
Mississippi State,85.94890678352739,36.0
Wisconsin,85.68205863891984,37.0
Clemson,85.66836967305674,38.0
Southern California,83.17927253805523,39.0
Oregon,82.66374981737656,40.0
North Carolina,82.27342116777275,41.0
Duke,80.9624486965642,42.0
Northwestern,80.64935289422198,43.0
Ohio State,80.1569923248376,44.0
Georgia Tech,79.61765646455005,45.0
Texas Tech,79.47910245729122,46.0
Utah,79.22762837277295,47.0
Syracuse,76.65372206044425,48.0
Notre Dame,76.47237889079774,49.0
Missouri,75.45011843914062,50.0
Oregon State,74.94509166144725,51.0
Texas,74.15398011606652,52.0
Oklahoma State,73.88390122179418,53.0
Washington State,72.83219420306365,54.0
Iowa State,71.14570371894784,55.0
Indiana,70.7624914336423,56.0
Stanford,69.69094647615701,57.0
California,68.9909935971982,58.0
Minnesota,66.37517660845943,59.0
Florida State,64.73242038659897,60.0
Kansas,58.401641119314355,61.0
Illinois,56.22488682619943,62.0
Miami (FL),55.74332611247586,63.0
Arizona,50.13410541964562,64.0
Washington,47.36041447572967,65.0
Vanderbilt,45.33403988953311,66.0
Fresno State,22.957218538775138,67.0
Marshall,13.26137040209986,68.0
Texas-San Antonio,10.431540834704457,69.0
Cincinnati,7.562636277828048,70.0
Southern Methodist,6.209402106577194,71.0
Air Force,5.40987942548896,72.0
Coastal Carolina,2.521275311851909,73.0
San Diego State,2.3850848287633895,74.0
Liberty,1.2126337064287398,75.0
Central Michigan,1.0967950652672869,76.0
East Tennessee State,-0.3300453695965935,77.0
Nevada,-0.4430283055053046,78.0
Toledo,-6.738427353567524,79.0
Central Florida,-7.306428258691973,80.0
Charlotte,-7.971363813034564,81.0
Army,-9.961943707422689,82.0
Tulane,-10.186164388907851,83.0
South Alabama,-10.444876923233576,84.0
Houston,-10.71304871480682,85.0
Western Michigan,-11.618030639597585,86.0
Troy,-12.120615197136843,87.0
Boise State,-12.12487084660604,88.0
Utah State,-13.567169942545306,89.0
Montana,-15.784590824142047,90.0
Florida Atlantic,-16.11901278700511,91.0
Memphis,-16.210863769396493,92.0
Western Kentucky,-16.81854409745536,93.0
Florida International,-18.396526739101255,94.0
Southern Mississippi,-18.798464425333165,95.0
Appalachian State,-18.998476486270302,96.0
Alabama-Birmingham,-19.642493601248525,97.0
Louisiana,-19.936130537618585,98.0
South Dakota State,-20.86625015540531,99.0
Old Dominion,-21.570877134021686,100.0
Kent State,-22.009827529964156,101.0
