Team,Rating Week 16,Rank Week 16
Georgia,218.45901264062246,1.0
Michigan,157.76999239598254,2.0
Cincinnati,143.41178158478476,3.0
Ohio State,136.246564714586,4.0
Alabama,136.1784249036698,5.0
Notre Dame,130.3204689556952,6.0
Oklahoma State,125.24969598754555,7.0
Utah,116.88344224537678,8.0
Pittsburgh,115.43104886568766,9.0
Texas A&M,109.38228439449885,10.0
Clemson,101.99132534697597,12.0
Houston,101.16636033030343,13.0
Wisconsin,100.0116764994634,14.0
Penn State,99.90746044066339,15.0
North Carolina State,98.10003461940892,16.0
Baylor,92.84202917754027,18.0
Iowa State,88.81318818188731,20.0
Wake Forest,82.01682945926002,26.0
Mississippi,73.17882790261093,27.0
Oklahoma,72.98127598819404,28.0
Kentucky,70.18194855328066,29.0
Tennessee,67.59902384402157,31.0
Purdue,66.80638557236617,34.0
Minnesota,66.61005364188591,35.0
UCLA,65.12674066447559,36.0
Arkansas,60.97813090866837,38.0
Brigham Young,58.008184801140054,39.0
Oregon State,54.550696052393675,41.0
Mississippi State,54.53263762516266,42.0
Arizona State,53.1853810744433,43.0
Louisville,52.081637555033836,44.0
Michigan State,51.390995949172904,45.0
Central Florida,49.418906571149776,48.0
Nebraska,48.13756769991305,49.0
Washington State,45.283229928511716,50.0
Miami (FL),44.617687553600334,52.0
Kansas State,44.331187094118306,53.0
North Carolina,41.21432150594299,55.0
Florida,32.77267278591137,58.0
Auburn,32.48523476060871,59.0
Iowa,32.162702471991395,60.0
Oregon,31.616017852668204,61.0
Louisiana State,30.78760163246337,62.0
Virginia,28.521823680087994,63.0
Texas,17.544465933300874,71.0
Boston College,15.861059492411357,72.0
Florida State,15.4051395949837,73.0
Virginia Tech,12.435822101019445,74.0
California,11.338745486666856,75.0
West Virginia,9.204649370133842,78.0
Illinois,1.2738421244289704,88.0
Texas Tech,-2.2835769114853184,98.0
Syracuse,-4.6791426812956995,104.0
Southern California,-5.547250754108381,107.0
Maryland,-8.430734397045617,112.0
Washington,-9.236489977077325,115.0
South Carolina,-17.654820600721163,141.0
Missouri,-20.59456760819745,152.0
Texas Christian,-20.733593969833333,154.0
Rutgers,-36.39356773194694,191.0
Colorado,-38.93078075198015,194.0
Georgia Tech,-48.332941308142324,199.0
Northwestern,-53.44571104049444,206.0
Arizona,-64.03988898508157,210.0
Stanford,-70.99092840973587,213.0
Kansas,-90.66580253918426,217.0
Duke,-92.54781314632334,218.0
Vanderbilt,-109.32633809871449,221.0
Indiana,-110.31162889458842,222.0
